#,Name,Start,End,Length
R2,,1.1.00,2.1.00,1.0.00
R3,KICK_VELOCITY_0_1,2.1.00,3.1.00,1.0.00
R4,,3.1.00,4.1.00,1.0.00
R5,KICK_VELOCITY_0_2,4.1.00,5.1.00,1.0.00
R6,,5.1.00,6.1.00,1.0.00
R7,KICK_VELOCITY_0_3,6.1.00,7.1.00,1.0.00
R8,,7.1.00,8.1.00,1.0.00
R9,KICK_VELOCITY_0_4,8.1.00,9.1.00,1.0.00
R10,,9.1.00,10.1.00,1.0.00
R11,KICK_VELOCITY_0_5,10.1.00,11.1.00,1.0.00
R12,,11.1.00,12.1.00,1.0.00
R13,KICK_VELOCITY_0_6,12.1.00,13.1.00,1.0.00
R14,,13.1.00,14.1.00,1.0.00
R15,KICK_VELOCITY_0_7,14.1.00,15.1.00,1.0.00
R16,,15.1.00,16.1.00,1.0.00
R17,KICK_VELOCITY_0_8,16.1.00,17.1.00,1.0.00
R18,,17.1.00,18.1.00,1.0.00
R19,KICK_VELOCITY_1_1,18.1.00,19.1.00,1.0.00
R20,,19.1.00,20.1.00,1.0.00
R21,KICK_VELOCITY_1_2,20.1.00,21.1.00,1.0.00
R22,,21.1.00,22.1.00,1.0.00
R23,KICK_VELOCITY_1_3,22.1.00,23.1.00,1.0.00
R24,,23.1.00,24.1.00,1.0.00
R25,KICK_VELOCITY_1_4,24.1.00,25.1.00,1.0.00
R26,,25.1.00,26.1.00,1.0.00
R27,KICK_VELOCITY_1_5,26.1.00,27.1.00,1.0.00
R28,,27.1.00,28.1.00,1.0.00
R29,KICK_VELOCITY_1_6,28.1.00,29.1.00,1.0.00
R30,,29.1.00,30.1.00,1.0.00
R31,KICK_VELOCITY_1_7,30.1.00,31.1.00,1.0.00
R32,,31.1.00,32.1.00,1.0.00
R33,KICK_VELOCITY_1_8,32.1.00,33.1.00,1.0.00
R34,,33.1.00,34.1.00,1.0.00
R35,KICK_VELOCITY_2_1,34.1.00,35.1.00,1.0.00
R36,,35.1.00,36.1.00,1.0.00
R37,KICK_VELOCITY_2_2,36.1.00,37.1.00,1.0.00
R38,,37.1.00,38.1.00,1.0.00
R39,KICK_VELOCITY_2_3,38.1.00,39.1.00,1.0.00
R40,,39.1.00,40.1.00,1.0.00
R41,KICK_VELOCITY_2_4,40.1.00,41.1.00,1.0.00
R42,,41.1.00,42.1.00,1.0.00
R43,KICK_VELOCITY_2_5,42.1.00,43.1.00,1.0.00
R44,,43.1.00,44.1.00,1.0.00
R45,KICK_VELOCITY_2_6,44.1.00,45.1.00,1.0.00
R46,,45.1.00,46.1.00,1.0.00
R47,KICK_VELOCITY_2_7,46.1.00,47.1.00,1.0.00
R48,,47.1.00,48.1.00,1.0.00
R49,KICK_VELOCITY_2_8,48.1.00,49.1.00,1.0.00
R50,,49.1.00,50.1.00,1.0.00
R51,KICK_VELOCITY_3_1,50.1.00,51.1.00,1.0.00
R52,,51.1.00,52.1.00,1.0.00
R53,KICK_VELOCITY_3_2,52.1.00,53.1.00,1.0.00
R54,,53.1.00,54.1.00,1.0.00
R55,KICK_VELOCITY_3_3,54.1.00,55.1.00,1.0.00
R56,,55.1.00,56.1.00,1.0.00
R57,KICK_VELOCITY_3_4,56.1.00,57.1.00,1.0.00
R58,,57.1.00,58.1.00,1.0.00
R59,KICK_VELOCITY_3_5,58.1.00,59.1.00,1.0.00
R60,,59.1.00,60.1.00,1.0.00
R61,KICK_VELOCITY_3_6,60.1.00,61.1.00,1.0.00
R62,,61.1.00,62.1.00,1.0.00
R63,KICK_VELOCITY_3_7,62.1.00,63.1.00,1.0.00
R64,,63.1.00,64.1.00,1.0.00
R65,KICK_VELOCITY_3_8,64.1.00,65.1.00,1.0.00
R66,,65.1.00,66.1.00,1.0.00
R67,KICK_VELOCITY_4_1,66.1.00,67.1.00,1.0.00
R68,,67.1.00,68.1.00,1.0.00
