#,Name,Start,End,Length
R1,,1.1.00,2.1.00,1.0.00
R2,KICK_VELOCITY_0_1,2.1.00,3.1.00,1.0.00
R3,,3.1.00,4.1.00,1.0.00
R4,KICK_VELOCITY_0_2,4.1.00,5.1.00,1.0.00
R5,,5.1.00,6.1.00,1.0.00
R6,KICK_VELOCITY_0_3,6.1.00,7.1.00,1.0.00
R7,,7.1.00,8.1.00,1.0.00
R8,KICK_VELOCITY_0_4,8.1.00,9.1.00,1.0.00
R9,,9.1.00,10.1.00,1.0.00
R10,KICK_VELOCITY_0_5,10.1.00,11.1.00,1.0.00
R11,,11.1.00,12.1.00,1.0.00
R12,KICK_VELOCITY_0_6,12.1.00,13.1.00,1.0.00
R13,,13.1.00,14.1.00,1.0.00
R14,KICK_VELOCITY_0_7,14.1.00,15.1.00,1.0.00
R15,,15.1.00,16.1.00,1.0.00
R16,KICK_VELOCITY_0_8,16.1.00,17.1.00,1.0.00
R17,,17.1.00,18.1.00,1.0.00
R18,KICK_VELOCITY_1_1,18.1.00,19.1.00,1.0.00
R19,,19.1.00,20.1.00,1.0.00
R20,KICK_VELOCITY_1_2,20.1.00,21.1.00,1.0.00
R21,,21.1.00,22.1.00,1.0.00
R22,KICK_VELOCITY_1_3,22.1.00,23.1.00,1.0.00
R23,,23.1.00,24.1.00,1.0.00
R24,KICK_VELOCITY_1_4,24.1.00,25.1.00,1.0.00
R25,,25.1.00,26.1.00,1.0.00
R26,KICK_VELOCITY_1_5,26.1.00,27.1.00,1.0.00
R27,,27.1.00,28.1.00,1.0.00
R28,KICK_VELOCITY_1_6,28.1.00,29.1.00,1.0.00
R29,,29.1.00,30.1.00,1.0.00
R30,KICK_VELOCITY_1_7,30.1.00,31.1.00,1.0.00
R31,,31.1.00,32.1.00,1.0.00
R32,KICK_VELOCITY_1_8,32.1.00,33.1.00,1.0.00
R33,,33.1.00,34.1.00,1.0.00
R34,KICK_VELOCITY_2_1,34.1.00,35.1.00,1.0.00
R35,,35.1.00,36.1.00,1.0.00
R36,KICK_VELOCITY_2_2,36.1.00,37.1.00,1.0.00
R37,,37.1.00,38.1.00,1.0.00
R38,KICK_VELOCITY_2_3,38.1.00,39.1.00,1.0.00
R39,,39.1.00,40.1.00,1.0.00
R40,KICK_VELOCITY_2_4,40.1.00,41.1.00,1.0.00
R41,,41.1.00,42.1.00,1.0.00
R42,KICK_VELOCITY_2_5,42.1.00,43.1.00,1.0.00
R43,,43.1.00,44.1.00,1.0.00
R44,KICK_VELOCITY_2_6,44.1.00,45.1.00,1.0.00
R45,,45.1.00,46.1.00,1.0.00
R46,KICK_VELOCITY_2_7,46.1.00,47.1.00,1.0.00
R47,,47.1.00,48.1.00,1.0.00
R48,KICK_VELOCITY_2_8,48.1.00,49.1.00,1.0.00
R49,,49.1.00,50.1.00,1.0.00
R50,KICK_VELOCITY_3_1,50.1.00,51.1.00,1.0.00
R51,,51.1.00,52.1.00,1.0.00
R52,KICK_VELOCITY_3_2,52.1.00,53.1.00,1.0.00
R53,,53.1.00,54.1.00,1.0.00
R54,KICK_VELOCITY_3_3,54.1.00,55.1.00,1.0.00
R55,,55.1.00,56.1.00,1.0.00
R56,KICK_VELOCITY_3_4,56.1.00,57.1.00,1.0.00
R57,,57.1.00,58.1.00,1.0.00
R58,KICK_VELOCITY_3_5,58.1.00,59.1.00,1.0.00
R59,,59.1.00,60.1.00,1.0.00
R60,KICK_VELOCITY_3_6,60.1.00,61.1.00,1.0.00
R61,,61.1.00,62.1.00,1.0.00
R62,KICK_VELOCITY_3_7,62.1.00,63.1.00,1.0.00
R63,,63.1.00,64.1.00,1.0.00
R64,KICK_VELOCITY_3_8,64.1.00,65.1.00,1.0.00
R65,,65.1.00,66.1.00,1.0.00
R66,KICK_VELOCITY_4_1,66.1.00,67.1.00,1.0.00
R67,,67.1.00,68.1.00,1.0.00
R68,KICK_VELOCITY_4_2,68.1.00,69.1.00,1.0.00
R69,,69.1.00,70.1.00,1.0.00
R70,KICK_VELOCITY_4_3,70.1.00,71.1.00,1.0.00
R71,,71.1.00,72.1.00,1.0.00
R72,KICK_VELOCITY_4_4,72.1.00,73.1.00,1.0.00
R73,,73.1.00,74.1.00,1.0.00
R74,KICK_VELOCITY_4_5,74.1.00,75.1.00,1.0.00
R75,,75.1.00,76.1.00,1.0.00
R76,KICK_VELOCITY_4_6,76.1.00,77.1.00,1.0.00
R77,,77.1.00,78.1.00,1.0.00
R78,KICK_VELOCITY_4_7,78.1.00,79.1.00,1.0.00
R79,,79.1.00,80.1.00,1.0.00
R80,KICK_VELOCITY_4_8,80.1.00,81.1.00,1.0.00
R81,,81.1.00,82.1.00,1.0.00
R82,KICK_VELOCITY_5_1,82.1.00,83.1.00,1.0.00
R83,,83.1.00,84.1.00,1.0.00
R84,KICK_VELOCITY_5_2,84.1.00,85.1.00,1.0.00
R85,,85.1.00,86.1.00,1.0.00
R86,KICK_VELOCITY_5_3,86.1.00,87.1.00,1.0.00
R87,,87.1.00,88.1.00,1.0.00
R88,KICK_VELOCITY_5_4,88.1.00,89.1.00,1.0.00
R89,,89.1.00,90.1.00,1.0.00
R90,KICK_VELOCITY_5_5,90.1.00,91.1.00,1.0.00
R91,,91.1.00,92.1.00,1.0.00
R92,KICK_VELOCITY_5_6,92.1.00,93.1.00,1.0.00
R93,,93.1.00,94.1.00,1.0.00
R94,KICK_VELOCITY_5_7,94.1.00,95.1.00,1.0.00
R95,,95.1.00,96.1.00,1.0.00
R96,KICK_VELOCITY_5_8,96.1.00,97.1.00,1.0.00
R97,,97.1.00,98.1.00,1.0.00
R98,KICK_VELOCITY_6_1,98.1.00,99.1.00,1.0.00
R99,,99.1.00,100.1.00,1.0.00
R100,KICK_VELOCITY_6_2,100.1.00,101.1.00,1.0.00
R101,,101.1.00,102.1.00,1.0.00
R102,KICK_VELOCITY_6_3,102.1.00,103.1.00,1.0.00
R103,,103.1.00,104.1.00,1.0.00
R104,KICK_VELOCITY_6_4,104.1.00,105.1.00,1.0.00
R105,,105.1.00,106.1.00,1.0.00
R106,KICK_VELOCITY_6_5,106.1.00,107.1.00,1.0.00
R107,,107.1.00,108.1.00,1.0.00
R108,KICK_VELOCITY_6_6,108.1.00,109.1.00,1.0.00
R109,,109.1.00,110.1.00,1.0.00
R110,KICK_VELOCITY_6_7,110.1.00,111.1.00,1.0.00
R111,,111.1.00,112.1.00,1.0.00
R112,KICK_VELOCITY_6_8,112.1.00,113.1.00,1.0.00
R113,,113.1.00,114.1.00,1.0.00
R114,KICK_VELOCITY_7_1,114.1.00,115.1.00,1.0.00
R115,,115.1.00,116.1.00,1.0.00
R116,KICK_VELOCITY_7_2,116.1.00,117.1.00,1.0.00
R117,,117.1.00,118.1.00,1.0.00
R118,KICK_VELOCITY_7_3,118.1.00,119.1.00,1.0.00
R119,,119.1.00,120.1.00,1.0.00
